Artist,Title,Key,BPM,Energy,Duration,Genre
Drifting Ember,Slow Burn,4B,143.3,8,4:01,techno
Drifting Ember,Wildfire,9A,136.3,8,3:24,techno
Echo Meadow,Backseat,8A,139.3,8,4:49,techno
Echo Meadow,Coastline,7A,153.0,9,4:00,techno
Echo Meadow,Featherweight,6A,133.3,8,2:31,techno
Echo Meadow,Gravity,2B,140.8,9,1:35,techno
Echo Meadow,Long Division,8A,137.7,8,2:11,techno
Echo Meadow,Paper Moons,7B,139.6,8,5:36,techno
Echo Meadow,Telegraph,7A,143.5,8,2:38,techno
Echo Parade,Bittersweet,10B,125.8,7,3:58,house
Echo Parade,Paper Moons,11A,121.1,6,1:53,house
Echo Parade,Rooftops,11B,127.2,6,4:15,house
Echo Parade,Undertow,11B,117.7,8,4:03,house
Glass Parade,Coastline,1A,123.4,7,3:53,house
Glass Parade,Featherweight,2B,126.3,7,4:31,house
Glass Parade,Ferris Wheel,2B,123.4,6,3:30,house
Glass Parade,Nightshift,2B,122.1,7,4:10,house
Glass Parade,Overgrown,4B,123.6,6,4:14,house
Glass Parade,Saltwater,1B,127.6,7,4:52,house
Glass Parade,Soft Focus,12B,121.5,7,4:50,house
Glass Parade,Wildfire,12B,123.6,8,2:33,house
Golden Static,Cold Glass,12A,134.2,8,4:12,garage
Golden Static,Daydream,11A,131.3,9,4:23,garage
Golden Static,Overgrown,12B,131.2,8,4:30,garage
Golden Static,Rooftops,7B,128.2,7,4:28,garage
Hollow Cathedral,Ceilings,9A,134.8,6,3:47,garage
Hollow Cathedral,Mercury,3B,134.1,6,3:07,garage
Hollow Cathedral,Overgrown,2B,131.0,8,3:03,garage
Hollow Cathedral,Slow Burn,2B,136.0,7,4:49,garage
Hollow Cathedral,Undertow,3A,136.8,7,4:13,garage
Hollow Cinder,Ceilings,11B,119.9,8,2:00,house
Hollow Cinder,Coastline,11B,122.2,8,3:43,house
Hollow Cinder,Cold Glass,2B,123.3,8,4:11,house
Hollow Cinder,Mercury,12B,119.5,7,4:29,house
Hollow Cinder,Runaway,11B,121.6,9,3:45,house
Hollow Cinder,Saltwater,1B,125.3,7,3:37,house
Hollow Cinder,Static Bloom,8B,117.9,7,3:23,house
Hollow Cinder,Undertow,12A,122.5,7,2:02,house
Hollow Mirage,Coastline,5A,122.8,7,4:34,house
Hollow Mirage,Daydream,6B,122.3,7,4:14,house
Hollow Mirage,Featherweight,6B,127.0,7,3:15,house
Hollow Mirage,Gravity,7A,123.5,6,3:44,house
Hollow Mirage,Undertow,7A,127.5,8,3:30,house
Iron Cathedral,Afterglow,4B,125.2,7,3:10,house
Iron Cathedral,Ceilings,4B,119.1,8,1:57,house
Iron Cathedral,Coastline,4A,119.5,9,4:13,house
Iron Cathedral,Gravity,3B,121.0,7,2:24,house
Iron Cathedral,Lowlands,5B,135.0,6,3:00,house
Iron Cathedral,Wildfire,4B,119.4,8,3:52,house
Iron Cinder,Bittersweet,7A,145.6,9,3:16,techno
Iron Cinder,Coastline,7A,139.7,7,4:10,techno
Iron Cinder,Lowlands,9A,132.6,9,3:53,techno
Iron Cinder,Runaway,1B,128.8,10,3:08,techno
Iron Cinder,Slow Burn,9B,135.7,8,3:18,techno
Iron Cinder,Telegraph,7A,141.8,8,4:09,techno
Iron Static,Afterglow,6A,125.5,6,3:13,house
Iron Static,Ceilings,6A,118.7,6,1:58,house
Iron Static,Marrow,6A,123.5,8,4:30,house
Iron Static,Rooftops,6A,119.4,7,1:35,house
Iron Static,Slow Burn,6B,121.0,8,3:18,house
Iron Static,Undertow,8A,129.4,6,2:49,house
Iron Static,Wildfire,8A,128.2,8,4:14,house
Lunar Ember,Daydream,5A,121.2,6,4:23,house
Lunar Ember,Gravity,4A,131.4,7,4:31,house
Lunar Ember,Half Light,5B,126.4,6,3:57,house
Lunar Ember,Lowlands,6A,130.6,6,3:56,house
Lunar Signal,Aftertaste,11A,85.9,3,4:18,downtempo
Lunar Signal,Cold Glass,11A,88.1,3,2:59,downtempo
Lunar Signal,Lowlands,10A,98.8,3,3:28,downtempo
Lunar Signal,Open Road,10A,86.1,4,4:48,downtempo
Lunar Signal,Paper Moons,6B,93.7,5,2:50,downtempo
Lunar Signal,Soft Focus,11A,85.7,3,3:34,downtempo
Lunar Voyage,Long Division,12A,176.2,8,4:25,dnb
Lunar Voyage,Nightshift,1A,176.2,8,5:45,dnb
Lunar Voyage,Overgrown,1B,175.7,9,3:24,dnb
Lunar Voyage,Rooftops,12A,178.8,10,3:50,dnb
Marble Avenue,Aftertaste,12B,141.9,8,3:37,techno
Marble Avenue,Backseat,12A,138.9,9,2:27,techno
Marble Avenue,Rooftops,12A,140.8,7,3:53,techno
Marble Avenue,Runaway,12B,140.8,9,4:49,techno
Marble Avenue,Static Bloom,11B,129.4,10,4:24,techno
Marble Avenue,Stillwater,12A,134.2,9,3:41,techno
Midnight Circuit,Gravity,10A,135.6,9,2:03,techno
Midnight Circuit,Overgrown,7B,140.0,9,2:45,techno
Midnight Circuit,Runaway,10A,140.9,8,4:29,techno
Midnight Circuit,Saltwater,10B,136.8,8,1:57,techno
Midnight Signal,Aftertaste,10A,122.0,7,3:13,garage
Midnight Signal,Bittersweet,2A,141.1,7,1:55,garage
Midnight Signal,Ceilings,2A,138.0,6,2:45,garage
Midnight Signal,Gravity,10A,129.0,8,5:26,garage
Midnight Signal,Soft Focus,11B,131.1,6,2:35,garage
Neon Current,Afterglow,7B,89.1,3,4:20,downtempo
Neon Current,Coastline,12B,85.8,3,3:40,downtempo
Neon Current,Gravity,2B,87.6,3,4:36,downtempo
Neon Current,Mercury,1B,85.7,3,1:53,downtempo
Neon Current,Static Bloom,8A,94.5,3,2:22,downtempo
Neon Current,Stillwater,1B,87.5,3,3:17,downtempo
Neon Current,Telegraph,1B,94.4,4,3:08,downtempo
Neon Monsoon,Featherweight,6B,174.1,9,3:40,dnb
Neon Monsoon,Ferris Wheel,9B,175.4,10,3:42,dnb
Neon Monsoon,Long Division,8B,172.8,8,3:35,dnb
Neon Monsoon,Lowlands,6B,175.9,9,2:44,dnb
Neon Monsoon,Marrow,7B,176.7,9,4:05,dnb
Neon Monsoon,Open Road,8B,168.3,8,3:33,dnb
Neon Monsoon,Rooftops,7A,173.8,10,3:08,dnb
Neon Parade,Afterglow,7B,80.1,5,3:20,downtempo
Neon Parade,Ceilings,5B,92.1,5,3:08,downtempo
Neon Parade,Long Division,6A,87.6,5,3:57,downtempo
Neon Parade,Lowlands,6A,87.3,4,2:02,downtempo
Neon Parade,Overgrown,6A,106.1,3,3:07,downtempo
Neon Parade,Static Bloom,7B,82.2,4,2:48,downtempo
Neon Parade,Stillwater,6A,95.5,4,4:16,downtempo
Neon Signal,Afterglow,4B,121.2,6,3:05,house
Neon Signal,Backseat,5B,125.1,8,3:51,house
Neon Signal,Bittersweet,6B,120.8,6,4:45,house
Neon Signal,Featherweight,4B,123.0,7,1:35,house
Neon Signal,Lowlands,4B,128.8,7,3:25,house
Northern Pines,Ceilings,2A,171.7,10,3:01,dnb
Northern Pines,Long Division,11B,174.6,8,3:20,dnb
Northern Pines,Undertow,3A,175.3,9,2:52,dnb
Northern Pines,Wildfire,1B,172.6,9,4:48,dnb
Paper Atlas,Cold Glass,5B,177.9,9,2:19,dnb
Paper Atlas,Gravity,3B,171.4,9,4:49,dnb
Paper Atlas,Lowlands,5B,175.4,8,3:54,dnb
Paper Atlas,Overgrown,3B,174.6,9,3:11,dnb
Paper Atlas,Soft Focus,3B,176.7,9,4:09,dnb
Paper Atlas,Static Bloom,3B,170.6,9,3:26,dnb
Paper Atlas,Wildfire,4A,173.3,9,3:47,dnb
Paper Parade,Afterglow,12B,119.2,7,2:53,house
Paper Parade,Ceilings,12B,120.4,9,2:20,house
Paper Parade,Mercury,1B,126.4,7,3:44,house
Paper Parade,Overgrown,12B,121.4,8,3:25,house
Paper Parade,Telegraph,2B,122.2,7,4:27,house
Paper Tigers,Cold Glass,2B,118.4,7,2:41,house
Paper Tigers,Featherweight,12B,123.0,8,2:30,house
Paper Tigers,Ferris Wheel,12B,123.9,8,3:42,house
Paper Tigers,Marrow,12B,120.0,7,4:31,house
Paper Tigers,Open Road,12B,125.5,7,1:41,house
Paper Tigers,Slow Burn,2B,124.1,7,4:06,house
Paper Tigers,Stillwater,12B,118.0,6,3:05,house
Phantom Atlas,Cold Glass,12B,177.2,9,3:41,dnb
Phantom Atlas,Ferris Wheel,12A,179.3,9,4:27,dnb
Phantom Atlas,Long Division,1A,180.5,9,5:21,dnb
Phantom Atlas,Stillwater,1A,172.2,9,3:18,dnb
Phantom Circuit,Ceilings,3B,129.1,6,2:44,garage
Phantom Circuit,Coastline,4A,133.7,7,2:25,garage
Phantom Circuit,Ferris Wheel,5B,132.4,6,3:20,garage
Phantom Circuit,Nightshift,5B,145.4,7,2:34,garage
Phantom Circuit,Runaway,9B,137.3,8,3:38,garage
Phantom Circuit,Slow Burn,3B,134.7,7,1:49,garage
Phantom Lantern,Ceilings,7B,168.7,9,3:46,dnb
Phantom Lantern,Coastline,6B,167.5,8,5:25,dnb
Phantom Lantern,Mercury,5B,171.4,8,5:05,dnb
Phantom Lantern,Telegraph,6B,169.8,9,2:28,dnb
Quiet Parade,Aftertaste,11A,134.2,8,1:44,techno
Quiet Parade,Backseat,8B,140.6,9,2:15,techno
Quiet Parade,Half Light,8A,136.7,9,1:39,techno
Quiet Parade,Mercury,9A,139.1,9,2:39,techno
Quiet Parade,Nightshift,8B,136.4,9,3:35,techno
Quiet Parade,Paper Moons,8A,143.4,9,3:54,techno
Quiet Parade,Runaway,7B,138.3,9,2:57,techno
Quiet Static,Bittersweet,12A,141.8,8,3:31,techno
Quiet Static,Ceilings,8B,130.3,8,3:10,techno
Quiet Static,Cold Glass,8A,137.0,8,3:49,techno
Quiet Static,Ferris Wheel,8A,132.9,9,3:11,techno
Quiet Static,Marrow,7B,144.4,7,2:16,techno
Quiet Static,Rooftops,9B,142.5,7,3:52,techno
Quiet Static,Saltwater,8A,133.9,7,3:41,techno
Saffron Ember,Aftertaste,10A,167.2,8,4:51,dnb
Saffron Ember,Bittersweet,9A,173.8,8,2:57,dnb
Saffron Ember,Ceilings,9B,179.1,8,2:13,dnb
Saffron Ember,Long Division,9A,173.3,9,4:30,dnb
Saffron Ember,Lowlands,2A,174.3,8,3:43,dnb
Saffron Ember,Rooftops,10B,175.5,10,2:23,dnb
Saffron Ember,Static Bloom,10B,179.1,9,3:32,dnb
Saffron Garden,Afterglow,2B,135.4,7,2:58,techno
Saffron Garden,Aftertaste,4B,138.9,9,3:10,techno
Saffron Garden,Ceilings,2B,139.4,8,3:27,techno
Saffron Garden,Cold Glass,3A,135.8,9,1:53,techno
Saffron Garden,Marrow,2B,136.3,9,5:18,techno
Saffron Garden,Runaway,3B,133.7,9,4:07,techno
Saffron Garden,Slow Burn,2B,139.8,9,2:33,techno
Saffron Garden,Telegraph,3B,140.8,7,3:44,techno
Saffron Harbor,Backseat,5B,120.5,8,4:19,house
Saffron Harbor,Mercury,2A,124.1,7,2:53,house
Saffron Harbor,Static Bloom,1B,126.3,8,3:13,house
Saffron Harbor,Stillwater,2A,123.7,7,2:33,house
Saffron Harbor,Undertow,2A,122.2,7,4:32,house
Silent Meadow,Gravity,7B,120.9,8,3:26,house
Silent Meadow,Rooftops,7B,127.6,8,1:52,house
Silent Meadow,Runaway,9B,125.7,7,2:47,house
Silent Meadow,Stillwater,5B,123.9,7,2:55,house
Silent Meadow,Wildfire,7B,120.7,7,2:33,house
Wild Anchor,Gravity,7A,120.2,6,3:17,house
Wild Anchor,Lowlands,7A,122.5,8,3:55,house
Wild Anchor,Marrow,5A,127.2,6,2:48,house
Wild Anchor,Nightshift,6A,126.0,7,2:48,house
Wild Anchor,Open Road,6B,118.3,7,3:16,house
Wild Anchor,Rooftops,7A,129.9,8,3:15,house
Wild Anchor,Undertow,6B,123.5,6,3:26,house
Wild Anchor,Wildfire,6B,124.0,7,3:02,house
Wild Meadow,Afterglow,2B,143.5,9,2:35,techno
Wild Meadow,Featherweight,2B,141.6,9,4:21,techno
Wild Meadow,Long Division,1A,139.8,8,3:55,techno
Wild Meadow,Open Road,2B,134.0,8,3:34,techno
Wild Meadow,Soft Focus,12B,138.0,8,2:40,techno
